token,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,call_put
35089,BANKNIFTY,2024-08-28,-0.01,15,FUTIDX,NFO,5.000000,BANKNIFTYAUGFUT
35075,BANKNIFTY,2024-09-25,-0.01,15,FUTIDX,NFO,5.000000,BANKNIFTYSEPFUT
35025,FINNIFTY,2024-09-24,-0.01,25,FUTIDX,NFO,5.000000,FINNIFTYSEPFUT
35073,FINNIFTY,2024-08-27,-0.01,25,FUTIDX,NFO,5.000000,FINNIFTYAUGFUT
38958,MIDCPNIFTY,2024-09-30,-0.01,50,FUTIDX,NFO,5.000000,MIDCPNIFTYSEPFUT
52882,MIDCPNIFTY,2024-08-26,-0.01,50,FUTIDX,NFO,5.000000,MIDCPNIFTYAUGFUT
35000,NIFTY,2024-09-26,-0.01,25,FUTIDX,NFO,5.000000,NIFTYSEPFUT
35415,NIFTY,2024-08-29,-0.01,25,FUTIDX,NFO,5.000000,NIFTYAUGFUT
35004,NIFTYNXT50,2024-09-27,-0.01,10,FUTIDX,NFO,5.000000,NIFTYNXTSEPFUT
35078,NIFTYNXT50,2024-08-30,-0.01,10,FUTIDX,NFO,5.000000,NIFTYNXTAUGFUT

