token,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,call_put
35001,AARTIIND,2024-09-26,-0.01,1000,FUTSTK,NFO,5.000000,AARTIINDSEPFUT
35426,AARTIIND,2024-08-29,-0.01,1000,FUTSTK,NFO,5.000000,AARTIINDAUGFUT
89814,AARTIIND,2024-08-29,810.0,1000,OPTSTK,NFO,5.000000,PE
89768,AARTIIND,2024-08-29,730.0,1000,OPTSTK,NFO,5.000000,PE
89761,AARTIIND,2024-08-29,710.0,1000,OPTSTK,NFO,5.000000,CE
89729,AARTIIND,2024-08-29,610.0,1000,OPTSTK,NFO,5.000000,CE
75541,AARTIIND,2024-08-29,600.0,1000,OPTSTK,NFO,5.000000,CE
75554,AARTIIND,2024-08-29,720.0,1000,OPTSTK,NFO,5.000000,PE
89817,AARTIIND,2024-08-29,850.0,1000,OPTSTK,NFO,5.000000,CE
75559,AARTIIND,2024-08-29,780.0,1000,OPTSTK,NFO,5.000000,CE
89738,AARTIIND,2024-08-29,670.0,1000,OPTSTK,NFO,5.000000,PE
75557,AARTIIND,2024-08-29,760.0,1000,OPTSTK,NFO,5.000000,CE
75578,AARTIIND,2024-08-29,840.0,1000,OPTSTK,NFO,5.000000,PE
75564,AARTIIND,2024-08-29,780.0,1000,OPTSTK,NFO,5.000000,PE
75550,AARTIIND,2024-08-29,680.0,1000,OPTSTK,NFO,5.000000,PE
89736,AARTIIND,2024-08-29,650.0,1000,OPTSTK,NFO,5.000000,PE
75553,AARTIIND,2024-08-29,720.0,1000,OPTSTK,NFO,5.000000,CE
75558,AARTIIND,2024-08-29,760.0,1000,OPTSTK,NFO,5.000000,PE
36080,AARTIIND,2024-08-29,820.0,1000,OPTSTK,NFO,5.000000,CE
75548,AARTIIND,2024-08-29,660.0,1000,OPTSTK,NFO,5.000000,PE
37856,AARTIIND,2024-08-29,860.0,1000,OPTSTK,NFO,5.000000,PE
89818,AARTIIND,2024-08-29,850.0,1000,OPTSTK,NFO,5.000000,PE
75551,AARTIIND,2024-08-29,700.0,1000,OPTSTK,NFO,5.000000,CE
89794,AARTIIND,2024-08-29,750.0,1000,OPTSTK,NFO,5.000000,PE
75556,AARTIIND,2024-08-29,740.0,1000,OPTSTK,NFO,5.000000,PE
89732,AARTIIND,2024-08-29,630.0,1000,OPTSTK,NFO,5.000000,PE
89739,AARTIIND,2024-08-29,690.0,1000,OPTSTK,NFO,5.000000,CE
36081,AARTIIND,2024-08-29,820.0,1000,OPTSTK,NFO,5.000000,PE
75565,AARTIIND,2024-08-29,800.0,1000,OPTSTK,NFO,5.000000,CE
89815,AARTIIND,2024-08-29,830.0,1000,OPTSTK,NFO,5.000000,CE
89762,AARTIIND,2024-08-29,710.0,1000,OPTSTK,NFO,5.000000,PE
89730,AARTIIND,2024-08-29,610.0,1000,OPTSTK,NFO,5.000000,PE
89799,AARTIIND,2024-08-29,770.0,1000,OPTSTK,NFO,5.000000,PE
75549,AARTIIND,2024-08-29,680.0,1000,OPTSTK,NFO,5.000000,CE
89737,AARTIIND,2024-08-29,670.0,1000,OPTSTK,NFO,5.000000,CE
89816,AARTIIND,2024-08-29,830.0,1000,OPTSTK,NFO,5.000000,PE
89812,AARTIIND,2024-08-29,790.0,1000,OPTSTK,NFO,5.000000,PE
37855,AARTIIND,2024-08-29,860.0,1000,OPTSTK,NFO,5.000000,CE
75555,AARTIIND,2024-08-29,740.0,1000,OPTSTK,NFO,5.000000,CE
89800,AARTIIND,2024-08-29,790.0,1000,OPTSTK,NFO,5.000000,CE
89726,AARTIIND,2024-08-29,570.0,1000,OPTSTK,NFO,5.000000,PE
89813,AARTIIND,2024-08-29,810.0,1000,OPTSTK,NFO,5.000000,CE
75544,AARTIIND,2024-08-29,620.0,1000,OPTSTK,NFO,5.000000,PE
75542,AARTIIND,2024-08-29,600.0,1000,OPTSTK,NFO,5.000000,PE
89740,AARTIIND,2024-08-29,690.0,1000,OPTSTK,NFO,5.000000,PE
75545,AARTIIND,2024-08-29,640.0,1000,OPTSTK,NFO,5.000000,CE
89793,AARTIIND,2024-08-29,750.0,1000,OPTSTK,NFO,5.000000,CE
89731,AARTIIND,2024-08-29,630.0,1000,OPTSTK,NFO,5.000000,CE
75552,AARTIIND,2024-08-29,700.0,1000,OPTSTK,NFO,5.000000,PE
75546,AARTIIND,2024-08-29,640.0,1000,OPTSTK,NFO,5.000000,PE
75573,AARTIIND,2024-08-29,840.0,1000,OPTSTK,NFO,5.000000,CE
89767,AARTIIND,2024-08-29,730.0,1000,OPTSTK,NFO,5.000000,CE
89796,AARTIIND,2024-08-29,770.0,1000,OPTSTK,NFO,5.000000,CE
89733,AARTIIND,2024-08-29,650.0,1000,OPTSTK,NFO,5.000000,CE
75572,AARTIIND,2024-08-29,800.0,1000,OPTSTK,NFO,5.000000,PE
75547,AARTIIND,2024-08-29,660.0,1000,OPTSTK,NFO,5.000000,CE
75543,AARTIIND,2024-08-29,620.0,1000,OPTSTK,NFO,5.000000,CE
35479,ABB,2024-08-29,-0.01,125,FUTSTK,NFO,5.000000,ABBAUGFUT
35002,ABB,2024-09-26,-0.01,125,FUTSTK,NFO,5.000000,ABBSEPFUT
75924,ABB,2024-08-29,6000.0,125,OPTSTK,NFO,5.000000,CE
76402,ABB,2024-08-29,8500.0,125,OPTSTK,NFO,5.000000,CE
76371,ABB,2024-08-29,7300.0,125,OPTSTK,NFO,5.000000,PE
76223,ABB,2024-08-29,6700.0,125,OPTSTK,NFO,5.000000,CE
76224,ABB,2024-08-29,6700.0,125,OPTSTK,NFO,5.000000,PE
76396,ABB,2024-08-29,8400.0,125,OPTSTK,NFO,5.000000,CE
76392,ABB,2024-08-29,8200.0,125,OPTSTK,NFO,5.000000,CE
75936,ABB,2024-08-29,6600.0,125,OPTSTK,NFO,5.000000,CE
76419,ABB,2024-08-29,8800.0,125,OPTSTK,NFO,5.000000,CE
76431,ABB,2024-08-29,9200.0,125,OPTSTK,NFO,5.000000,CE
76490,ABB,2024-08-29,10200.0,125,OPTSTK,NFO,5.000000,CE
75931,ABB,2024-08-29,6400.0,125,OPTSTK,NFO,5.000000,PE
75925,ABB,2024-08-29,6000.0,125,OPTSTK,NFO,5.000000,PE
76390,ABB,2024-08-29,8100.0,125,OPTSTK,NFO,5.000000,CE
76418,ABB,2024-08-29,8700.0,125,OPTSTK,NFO,5.000000,PE
76227,ABB,2024-08-29,6900.0,125,OPTSTK,NFO,5.000000,CE
76298,ABB,2024-08-29,7100.0,125,OPTSTK,NFO,5.000000,PE
76403,ABB,2024-08-29,8500.0,125,OPTSTK,NFO,5.000000,PE
76271,ABB,2024-08-29,7100.0,125,OPTSTK,NFO,5.000000,CE
76386,ABB,2024-08-29,8000.0,125,OPTSTK,NFO,5.000000,CE
76372,ABB,2024-08-29,7400.0,125,OPTSTK,NFO,5.000000,CE
76457,ABB,2024-08-29,9300.0,125,OPTSTK,NFO,5.000000,CE
76381,ABB,2024-08-29,7700.0,125,OPTSTK,NFO,5.000000,PE
76384,ABB,2024-08-29,7900.0,125,OPTSTK,NFO,5.000000,CE
76456,ABB,2024-08-29,9200.0,125,OPTSTK,NFO,5.000000,PE
76270,ABB,2024-08-29,7000.0,125,OPTSTK,NFO,5.000000,PE
76376,ABB,2024-08-29,7600.0,125,OPTSTK,NFO,5.000000,CE
76428,ABB,2024-08-29,9100.0,125,OPTSTK,NFO,5.000000,CE
76377,ABB,2024-08-29,7600.0,125,OPTSTK,NFO,5.000000,PE
76202,ABB,2024-08-29,6600.0,125,OPTSTK,NFO,5.000000,PE
76226,ABB,2024-08-29,6800.0,125,OPTSTK,NFO,5.000000,PE
75926,ABB,2024-08-29,6200.0,125,OPTSTK,NFO,5.000000,CE
76397,ABB,2024-08-29,8400.0,125,OPTSTK,NFO,5.000000,PE
76380,ABB,2024-08-29,7700.0,125,OPTSTK,NFO,5.000000,CE
76229,ABB,2024-08-29,7000.0,125,OPTSTK,NFO,5.000000,CE
75932,ABB,2024-08-29,6500.0,125,OPTSTK,NFO,5.000000,CE
76395,ABB,2024-08-29,8300.0,125,OPTSTK,NFO,5.000000,PE
75929,ABB,2024-08-29,6200.0,125,OPTSTK,NFO,5.000000,PE
76406,ABB,2024-08-29,8600.0,125,OPTSTK,NFO,5.000000,PE
76459,ABB,2024-08-29,9400.0,125,OPTSTK,NFO,5.000000,CE
76422,ABB,2024-08-29,8800.0,125,OPTSTK,NFO,5.000000,PE
76425,ABB,2024-08-29,8900.0,125,OPTSTK,NFO,5.000000,PE
76427,ABB,2024-08-29,9000.0,125,OPTSTK,NFO,5.000000,PE
76393,ABB,2024-08-29,8200.0,125,OPTSTK,NFO,5.000000,PE
76385,ABB,2024-08-29,7900.0,125,OPTSTK,NFO,5.000000,PE
76382,ABB,2024-08-29,7800.0,125,OPTSTK,NFO,5.000000,CE
76426,ABB,2024-08-29,9000.0,125,OPTSTK,NFO,5.000000,CE
76299,ABB,2024-08-29,7200.0,125,OPTSTK,NFO,5.000000,CE
76370,ABB,2024-08-29,7300.0,125,OPTSTK,NFO,5.000000,CE
76460,ABB,2024-08-29,9400.0,125,OPTSTK,NFO,5.000000,PE
76375,ABB,2024-08-29,7500.0,125,OPTSTK,NFO,5.000000,PE
57467,ABB,2024-08-29,6300.0,125,OPTSTK,NFO,5.000000,PE
75935,ABB,2024-08-29,6500.0,125,OPTSTK,NFO,5.000000,PE
76373,ABB,2024-08-29,7400.0,125,OPTSTK,NFO,5.000000,PE
76461,ABB,2024-08-29,9500.0,125,OPTSTK,NFO,5.000000,CE
76367,ABB,2024-08-29,7200.0,125,OPTSTK,NFO,5.000000,PE
76225,ABB,2024-08-29,6800.0,125,OPTSTK,NFO,5.000000,CE
75930,ABB,2024-08-29,6400.0,125,OPTSTK,NFO,5.000000,CE
76394,ABB,2024-08-29,8300.0,125,OPTSTK,NFO,5.000000,CE
76383,ABB,2024-08-29,7800.0,125,OPTSTK,NFO,5.000000,PE
76374,ABB,2024-08-29,7500.0,125,OPTSTK,NFO,5.000000,CE
76417,ABB,2024-08-29,8700.0,125,OPTSTK,NFO,5.000000,CE
76423,ABB,2024-08-29,8900.0,125,OPTSTK,NFO,5.000000,CE
76391,ABB,2024-08-29,8100.0,125,OPTSTK,NFO,5.000000,PE
76228,ABB,2024-08-29,6900.0,125,OPTSTK,NFO,5.000000,PE
76404,ABB,2024-08-29,8600.0,125,OPTSTK,NFO,5.000000,CE
76387,ABB,2024-08-29,8000.0,125,OPTSTK,NFO,5.000000,PE
35480,ABBOTINDIA,2024-08-29,-0.01,20,FUTSTK,NFO,5.000000,ABBOTINDIAAUGFUT
35003,ABBOTINDIA,2024-09-26,-0.01,20,FUTSTK,NFO,5.000000,ABBOTINDIASEPFUT
77243,ABBOTINDIA,2024-08-29,26000.0,20,OPTSTK,NFO,5.000000,PE
90300,ABBOTINDIA,2024-08-29,26750.0,20,OPTSTK,NFO,5.000000,CE
77245,ABBOTINDIA,2024-08-29,26500.0,20,OPTSTK,NFO,5.000000,PE
77135,ABBOTINDIA,2024-08-29,24500.0,20,OPTSTK,NFO,5.000000,CE
90299,ABBOTINDIA,2024-08-29,26250.0,20,OPTSTK,NFO,5.000000,PE
90317,ABBOTINDIA,2024-08-29,30750.0,20,OPTSTK,NFO,5.000000,PE
77305,ABBOTINDIA,2024-08-29,32500.0,20,OPTSTK,NFO,5.000000,PE
77160,ABBOTINDIA,2024-08-29,26000.0,20,OPTSTK,NFO,5.000000,CE
90306,ABBOTINDIA,2024-08-29,28250.0,20,OPTSTK,NFO,5.000000,CE
77267,ABBOTINDIA,2024-08-29,29000.0,20,OPTSTK,NFO,5.000000,PE
90310,ABBOTINDIA,2024-08-29,29250.0,20,OPTSTK,NFO,5.000000,CE
90313,ABBOTINDIA,2024-08-29,29750.0,20,OPTSTK,NFO,5.000000,PE
77257,ABBOTINDIA,2024-08-29,28500.0,20,OPTSTK,NFO,5.000000,PE
90305,ABBOTINDIA,2024-08-29,27750.0,20,OPTSTK,NFO,5.000000,PE
90320,ABBOTINDIA,2024-08-29,31250.0,20,OPTSTK,NFO,5.000000,CE
90302,ABBOTINDIA,2024-08-29,27250.0,20,OPTSTK,NFO,5.000000,CE
77294,ABBOTINDIA,2024-08-29,30500.0,20,OPTSTK,NFO,5.000000,CE
77253,ABBOTINDIA,2024-08-29,27500.0,20,OPTSTK,NFO,5.000000,PE
77271,ABBOTINDIA,2024-08-29,29500.0,20,OPTSTK,NFO,5.000000,PE
