token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,call_put
64100,BANKNIFTY28AUG25FUT,BANKNIFTY,2025-08-28,0.0,35,FUTIDX,NFO,20.000000,
53213,BANKNIFTY31JUL25FUT,BANKNIFTY,2025-07-31,0.0,35,FUTIDX,NFO,20.000000,
53679,BANKNIFTY31JUL2546000PE,BANKNIFTY,2025-07-31,546000.0,35,OPTIDX,NFO,5.000000,PE
53732,BANKNIFTY31JUL2547500PE,BANKNIFTY,2025-07-31,547500.0,35,OPTIDX,NFO,5.000000,PE
53773,BANKNIFTY31JUL2548500CE,BANKNIFTY,2025-07-31,548500.0,35,OPTIDX,NFO,5.000000,CE
53805,BANKNIFTY31JUL2549100PE,BANKNIFTY,2025-07-31,549100.0,35,OPTIDX,NFO,5.000000,PE
53819,BANKNIFTY31JUL2549500CE,BANKNIFTY,2025-07-31,549500.0,35,OPTIDX,NFO,5.000000,CE
53677,BANKNIFTY31JUL2546000CE,BANKNIFTY,2025-07-31,546000.0,35,OPTIDX,NFO,5.000000,CE
53713,BANKNIFTY31JUL2547000CE,BANKNIFTY,2025-07-31,547000.0,35,OPTIDX,NFO,5.000000,CE
53785,BANKNIFTY31JUL2548700PE,BANKNIFTY,2025-07-31,548700.0,35,OPTIDX,NFO,5.000000,PE
53800,BANKNIFTY31JUL2549000PE,BANKNIFTY,2025-07-31,549000.0,35,OPTIDX,NFO,5.000000,PE
53922,BANKNIFTY31JUL2551900CE,BANKNIFTY,2025-07-31,551900.0,35,OPTIDX,NFO,5.000000,CE
53974,BANKNIFTY31JUL2552500PE,BANKNIFTY,2025-07-31,552500.0,35,OPTIDX,NFO,5.000000,PE
53978,BANKNIFTY31JUL2552700PE,BANKNIFTY,2025-07-31,552700.0,35,OPTIDX,NFO,5.000000,PE
53981,BANKNIFTY31JUL2552900CE,BANKNIFTY,2025-07-31,552900.0,35,OPTIDX,NFO,5.000000,CE
53982,BANKNIFTY31JUL2552900PE,BANKNIFTY,2025-07-31,552900.0,35,OPTIDX,NFO,5.000000,PE
53989,BANKNIFTY31JUL2553200PE,BANKNIFTY,2025-07-31,553200.0,35,OPTIDX,NFO,5.000000,PE
54008,BANKNIFTY31JUL2553700CE,BANKNIFTY,2025-07-31,553700.0,35,OPTIDX,NFO,5.000000,CE
54041,BANKNIFTY31JUL2555000CE,BANKNIFTY,2025-07-31,555000.0,35,OPTIDX,NFO,5.000000,CE
54060,BANKNIFTY31JUL2555700PE,BANKNIFTY,2025-07-31,555700.0,35,OPTIDX,NFO,5.000000,PE
54076,BANKNIFTY31JUL2556400CE,BANKNIFTY,2025-07-31,556400.0,35,OPTIDX,NFO,5.000000,CE
54081,BANKNIFTY31JUL2556600CE,BANKNIFTY,2025-07-31,556600.0,35,OPTIDX,NFO,5.000000,CE
54083,BANKNIFTY31JUL2556700CE,BANKNIFTY,2025-07-31,556700.0,35,OPTIDX,NFO,5.000000,CE
54090,BANKNIFTY31JUL2556900PE,BANKNIFTY,2025-07-31,556900.0,35,OPTIDX,NFO,5.000000,PE
54109,BANKNIFTY31JUL2557800CE,BANKNIFTY,2025-07-31,557800.0,35,OPTIDX,NFO,5.000000,CE
54112,BANKNIFTY31JUL2557800PE,BANKNIFTY,2025-07-31,557800.0,35,OPTIDX,NFO,5.000000,PE
54116,BANKNIFTY31JUL2558000PE,BANKNIFTY,2025-07-31,558000.0,35,OPTIDX,NFO,5.000000,PE
54135,BANKNIFTY31JUL2558700CE,BANKNIFTY,2025-07-31,558700.0,35,OPTIDX,NFO,5.000000,CE
54150,BANKNIFTY31JUL2559400PE,BANKNIFTY,2025-07-31,559400.0,35,OPTIDX,NFO,5.000000,PE
54179,BANKNIFTY31JUL2560300CE,BANKNIFTY,2025-07-31,560300.0,35,OPTIDX,NFO,5.000000,CE
54199,BANKNIFTY31JUL2561000CE,BANKNIFTY,2025-07-31,561000.0,35,OPTIDX,NFO,5.000000,CE
54217,BANKNIFTY31JUL2561600CE,BANKNIFTY,2025-07-31,561600.0,35,OPTIDX,NFO,5.000000,CE
54226,BANKNIFTY31JUL2562000PE,BANKNIFTY,2025-07-31,562000.0,35,OPTIDX,NFO,5.000000,PE
53858,BANKNIFTY31JUL2550000PE,BANKNIFTY,2025-07-31,550000.0,35,OPTIDX,NFO,5.000000,PE
54262,BANKNIFTY31JUL2563500PE,BANKNIFTY,2025-07-31,563500.0,35,OPTIDX,NFO,5.000000,PE
53863,BANKNIFTY31JUL2550300CE,BANKNIFTY,2025-07-31,550300.0,35,OPTIDX,NFO,5.000000,CE
53875,BANKNIFTY31JUL2550700CE,BANKNIFTY,2025-07-31,550700.0,35,OPTIDX,NFO,5.000000,CE
53884,BANKNIFTY31JUL2550800PE,BANKNIFTY,2025-07-31,550800.0,35,OPTIDX,NFO,5.000000,PE
53885,BANKNIFTY31JUL2550900CE,BANKNIFTY,2025-07-31,550900.0,35,OPTIDX,NFO,5.000000,CE
53897,BANKNIFTY31JUL2551300PE,BANKNIFTY,2025-07-31,551300.0,35,OPTIDX,NFO,5.000000,PE
53966,BANKNIFTY31JUL2552400CE,BANKNIFTY,2025-07-31,552400.0,35,OPTIDX,NFO,5.000000,CE
53973,BANKNIFTY31JUL2552500CE,BANKNIFTY,2025-07-31,552500.0,35,OPTIDX,NFO,5.000000,CE
53976,BANKNIFTY31JUL2552600PE,BANKNIFTY,2025-07-31,552600.0,35,OPTIDX,NFO,5.000000,PE
53983,BANKNIFTY31JUL2553000CE,BANKNIFTY,2025-07-31,553000.0,35,OPTIDX,NFO,5.000000,CE
53990,BANKNIFTY31JUL2553300CE,BANKNIFTY,2025-07-31,553300.0,35,OPTIDX,NFO,5.000000,CE
54014,BANKNIFTY31JUL2553900PE,BANKNIFTY,2025-07-31,553900.0,35,OPTIDX,NFO,5.000000,PE
54023,BANKNIFTY31JUL2554200CE,BANKNIFTY,2025-07-31,554200.0,35,OPTIDX,NFO,5.000000,CE
54027,BANKNIFTY31JUL2554300CE,BANKNIFTY,2025-07-31,554300.0,35,OPTIDX,NFO,5.000000,CE
54044,BANKNIFTY31JUL2555100PE,BANKNIFTY,2025-07-31,555100.0,35,OPTIDX,NFO,5.000000,PE
54047,BANKNIFTY31JUL2555300CE,BANKNIFTY,2025-07-31,555300.0,35,OPTIDX,NFO,5.000000,CE
54049,BANKNIFTY31JUL2555400CE,BANKNIFTY,2025-07-31,555400.0,35,OPTIDX,NFO,5.000000,CE
54062,BANKNIFTY31JUL2555800PE,BANKNIFTY,2025-07-31,555800.0,35,OPTIDX,NFO,5.000000,PE
54068,BANKNIFTY31JUL2556000PE,BANKNIFTY,2025-07-31,556000.0,35,OPTIDX,NFO,5.000000,PE
54072,BANKNIFTY31JUL2556200PE,BANKNIFTY,2025-07-31,556200.0,35,OPTIDX,NFO,5.000000,PE
54100,BANKNIFTY31JUL2557400PE,BANKNIFTY,2025-07-31,557400.0,35,OPTIDX,NFO,5.000000,PE
54101,BANKNIFTY31JUL2557500CE,BANKNIFTY,2025-07-31,557500.0,35,OPTIDX,NFO,5.000000,CE
54105,BANKNIFTY31JUL2557700CE,BANKNIFTY,2025-07-31,557700.0,35,OPTIDX,NFO,5.000000,CE
54126,BANKNIFTY31JUL2558400PE,BANKNIFTY,2025-07-31,558400.0,35,OPTIDX,NFO,5.000000,PE
54127,BANKNIFTY31JUL2558500CE,BANKNIFTY,2025-07-31,558500.0,35,OPTIDX,NFO,5.000000,CE
54132,BANKNIFTY31JUL2558500PE,BANKNIFTY,2025-07-31,558500.0,35,OPTIDX,NFO,5.000000,PE
54142,BANKNIFTY31JUL2559000PE,BANKNIFTY,2025-07-31,559000.0,35,OPTIDX,NFO,5.000000,PE
54144,BANKNIFTY31JUL2559100PE,BANKNIFTY,2025-07-31,559100.0,35,OPTIDX,NFO,5.000000,PE
54176,BANKNIFTY31JUL2560100PE,BANKNIFTY,2025-07-31,560100.0,35,OPTIDX,NFO,5.000000,PE
54184,BANKNIFTY31JUL2560500PE,BANKNIFTY,2025-07-31,560500.0,35,OPTIDX,NFO,5.000000,PE
54211,BANKNIFTY31JUL2561300CE,BANKNIFTY,2025-07-31,561300.0,35,OPTIDX,NFO,5.000000,CE
