token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,call_put
53003,360ONE31JUL25FUT,360ONE,2025-07-31,0.0,500,FUTSTK,NFO,10.000000,
53004,360ONE28AUG25FUT,360ONE,2025-08-28,0.0,500,FUTSTK,NFO,10.000000,
62494,360ONE31JUL251280CE,360ONE,2025-07-31,251280.0,500,OPTSTK,NFO,5.000000,CE
62497,360ONE31JUL251300PE,360ONE,2025-07-31,251300.0,500,OPTSTK,NFO,5.000000,PE
62499,360ONE31JUL251320PE,360ONE,2025-07-31,251320.0,500,OPTSTK,NFO,5.000000,PE
62512,360ONE31JUL251340CE,360ONE,2025-07-31,251340.0,500,OPTSTK,NFO,5.000000,CE
62513,360ONE31JUL251340PE,360ONE,2025-07-31,251340.0,500,OPTSTK,NFO,5.000000,PE
62390,360ONE31JUL251020CE,360ONE,2025-07-31,251020.0,500,OPTSTK,NFO,5.000000,CE
62452,360ONE31JUL251080CE,360ONE,2025-07-31,251080.0,500,OPTSTK,NFO,5.000000,CE
62456,360ONE31JUL251120CE,360ONE,2025-07-31,251120.0,500,OPTSTK,NFO,5.000000,CE
62495,360ONE31JUL251280PE,360ONE,2025-07-31,251280.0,500,OPTSTK,NFO,5.000000,PE
62453,360ONE31JUL251080PE,360ONE,2025-07-31,251080.0,500,OPTSTK,NFO,5.000000,PE
62477,360ONE31JUL251140PE,360ONE,2025-07-31,251140.0,500,OPTSTK,NFO,5.000000,PE
62478,360ONE31JUL251160CE,360ONE,2025-07-31,251160.0,500,OPTSTK,NFO,5.000000,CE
62481,360ONE31JUL251180PE,360ONE,2025-07-31,251180.0,500,OPTSTK,NFO,5.000000,PE
62457,360ONE31JUL251120PE,360ONE,2025-07-31,251120.0,500,OPTSTK,NFO,5.000000,PE
62476,360ONE31JUL251140CE,360ONE,2025-07-31,251140.0,500,OPTSTK,NFO,5.000000,CE
62479,360ONE31JUL251160PE,360ONE,2025-07-31,251160.0,500,OPTSTK,NFO,5.000000,PE
62449,360ONE31JUL251040PE,360ONE,2025-07-31,251040.0,500,OPTSTK,NFO,5.000000,PE
62454,360ONE31JUL251100CE,360ONE,2025-07-31,251100.0,500,OPTSTK,NFO,5.000000,CE
62455,360ONE31JUL251100PE,360ONE,2025-07-31,251100.0,500,OPTSTK,NFO,5.000000,PE
62480,360ONE31JUL251180CE,360ONE,2025-07-31,251180.0,500,OPTSTK,NFO,5.000000,CE
62488,360ONE31JUL251220CE,360ONE,2025-07-31,251220.0,500,OPTSTK,NFO,5.000000,CE
62489,360ONE31JUL251220PE,360ONE,2025-07-31,251220.0,500,OPTSTK,NFO,5.000000,PE
62492,360ONE31JUL251260CE,360ONE,2025-07-31,251260.0,500,OPTSTK,NFO,5.000000,CE
62516,360ONE31JUL251380CE,360ONE,2025-07-31,251380.0,500,OPTSTK,NFO,5.000000,CE
62519,360ONE31JUL251400PE,360ONE,2025-07-31,251400.0,500,OPTSTK,NFO,5.000000,PE
62448,360ONE31JUL251040CE,360ONE,2025-07-31,251040.0,500,OPTSTK,NFO,5.000000,CE
62484,360ONE31JUL251200CE,360ONE,2025-07-31,251200.0,500,OPTSTK,NFO,5.000000,CE
62485,360ONE31JUL251200PE,360ONE,2025-07-31,251200.0,500,OPTSTK,NFO,5.000000,PE
62493,360ONE31JUL251260PE,360ONE,2025-07-31,251260.0,500,OPTSTK,NFO,5.000000,PE
62498,360ONE31JUL251320CE,360ONE,2025-07-31,251320.0,500,OPTSTK,NFO,5.000000,CE
62515,360ONE31JUL251360PE,360ONE,2025-07-31,251360.0,500,OPTSTK,NFO,5.000000,PE
62389,360ONE31JUL251000PE,360ONE,2025-07-31,251000.0,500,OPTSTK,NFO,5.000000,PE
62391,360ONE31JUL251020PE,360ONE,2025-07-31,251020.0,500,OPTSTK,NFO,5.000000,PE
